3abacus "n.算盘"
3abandon "vt.放弃,遗弃n.放任,狂热"
4abandonment "n.放弃"
3abase "v.降低"
5abasement "n.降低"
3abash "vt.使局促不安,使困窘"
5abashed "adj.不安的,窘迫的"
3abate "vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
4abattoir "n.<法>屠宰场,(拳击,摔跤,斗牛等的)角斗场"
4abbess "n.女修道院院长,女庵主持"
3abbey "n.修道院,修道士（总称）"
4abbot "n.修道院,修道士的总称"
4abbreviate "v.缩写,缩短,简化,简写成,缩写为"
3abbreviation "n.缩写,缩写词"
3abdicate "v.退位,放弃(职位,权力等)"
5abdication "n.退位,让位"
3abdomen "n.腹,腹部"
4abdominal "adj.腹部的"
3abdominally "腹"
4abduct "vt.诱拐,绑架"
4abduction "n.诱拐n.诱导"
4abductor "n.诱拐者"
4abed "adv.在床上,卧病在床"
4aberrant "adj.异常的"
4aberration "n.失常"
3abet "vt.教唆,煽动,帮助,支持"
4abeyance "n.暂时无效,中止,归属待定"
3abhor "vt.憎恶,痛恨"
5abhorrence "n.痛恨,憎恶"
4abhorrent "adj.可恶的,格格不入的"
5abidance "n.持续,遵守,居住"
3abide "vi.坚持,遵守vt.忍受,容忍"
4abiding "v.容忍adj.持久的"
2ability "n.能力,才干"
4abject "adj.卑鄙的,可怜的"
4abjectly "adv.悲惨地,卑鄙地"
4abjure "vt.发誓放弃,避免,公开放弃"
1able "adj.能...的,有才能的,能干的,能够的"
5able-bodied "adj.强壮的"
5ablution "n.清洗"
5ably "adv.能干地,巧妙地"
5abnegate "v.放弃"
5abnegation "n.放弃"
3abnormal "adj.反常的,变态的"
4abnormally "adv.反常地,不规则地"
3aboard "adv.在船(飞机、车)上,上船(飞机、车)prep.在(船、飞机、车)上,上(船、飞机、车)"
5abode "n.住所,住处"
3abolish "vt.废止,废除(法律、制度、习俗等)"
4abolition "n.废除,废除奴隶制度"
5abolitionism "n.废除主义,废奴主义"
5abolitionist "n.废除主义者,废奴主义者"
4abominable "adj.讨厌的,令人憎恶的"
5abominably "adv.可恶地,可恨地,极端地"
5abominate "vt.痛恨,憎恶"
5abomination "n.憎恨,厌恶,可憎的事物"
4aboriginal "adj.土著的,原来的n.土著居民"
5aborigine "n.土著,土著居民"
4abortive "adj.早产的,流产的,失败的adj.夭折的,异常终止的,中断的"
3abound "vi.多,大量存在,富于,充满"
1about "adv.附近,大约,转向,左右,周围prep.在附近,关于,在...周围,忙于"
2above "adj.上面的,上述的,上文的adv.在上面prep.在...上方,过于,超出"
5aboveboard "adj.光明正大的"
5abracadabra "n.咒语,胡言乱语"
4abrade "v.磨损,摩擦,折磨"
4abraded "adj.磨损"
4abrasion "n.磨损"
4abrasive "n.研磨剂adj.研磨的"
4abreast "adv.并肩地,并排地"
3abridge "v.删节,削减,精简"
5abridgement "n.删节,缩短,删节本"
5abridgment "n.删节,节略,删节本"
3abroad "adv.往国外,到处,海外,广泛,差得远,心里没有谱"
3abrogate "vt.废除,取消"
5abrogation "n.废除,取消"
3abrupt "adj.突然的,陡峭的,生硬的"
3abruptly "adv.突然地,唐突地"
3abruptness "n.突然,唐突,(举止,言谈等的)粗鲁无理"
4abscess "n.脓肿,砂眼"
